Slice	Profundidade (mm)	Enegia Média (MeV)
1	0	13925,1
2	1	13871,6
3	2	14174,4
4	3	14459,4
5	4	14839,4
6	5	15245,8
7	6	15662,1
8	7	16127,9
9	8	16649,1
10	9	17134,3
11	10	17740,1
12	11	18223,6
13	12	18541,2
14	13	18617,6
15	14	18802,0
16	15	18517,6
17	16	18112,8
18	17	17341,1
19	18	16102,3
20	19	14653,3
21	20	12933,7
22	21	11109,2
23	22	9088,2
24	23	7094,6
25	24	5073,1
26	25	3302,6
27	26	1971,8
28	27	1009,5
29	28	474,9
30	29	181,1
